league,date,home_team,away_team,hm_odds,dr_odds,aw_odds,hmGfAtHm,hmGagAtHm,hmWatHm,hmDrAtHm,hmLosAtHm,awGfAtAw,awGagAtAw,awWatAw,awDrAtAw,awLosAtAw,hmOppGf,hmOppGagg,hmOppWin,hmOppDraw,hmOppLoss,awOppGf,awOppGagg,awOppWin,awOppDraw,awOppLoss,ftr
D1,23/05/2020,Bayern Munich,Ein Frankfurt,1.16,7.5,13,3.2015589634153896,0.9373908475645945,0.8263266794318052,0.10798209243636066,0.06569122813183424,0.9955599136272388,2.9478184208513647,0.09391611751094585,0.10358598253645072,0.8024978999526033,1.401023727868497,1.6457330551908071,0.3336373347167177,0.266521316307219,0.3998413489760635,1.9374118928527118,1.4423948711452022,0.46287244088577495,0.22721934844413366,0.30990821067009133,D
D1,24/05/2020,Schalke 04,Augsburg,2,3.5,3.6,0.9515729268404658,1.900746706967817,0.23116555375658449,0.4238116201446609,0.34502282609875473,1.1600439013591024,1.6630108328643798,0.35329648652642687,0.1172837824526211,0.5294197310209522,1.3036047254772456,1.6838858774126333,0.2843441300082088,0.2169533011299558,0.49870256886183534,1.888318595611682,1.3769451155660142,0.47799173906885295,0.22092289365404016,0.30108536727710705,D
D1,24/05/2020,Mainz,RB Leipzig,6.5,4.5,1.44,0.7741051479168409,2.216837722836791,0.17990265514743434,0.23075657201356897,0.5893407728389967,2.6336343552376555,0.7645286972444866,0.5386559986938602,0.31261581134172683,0.1487281899644132,1.423201025475816,1.6359775730682813,0.3110359228685619,0.2709138878108818,0.41805018932055615,1.9320897522081455,1.4049571441988324,0.43781652027054535,0.24803378604580534,0.3141496936836493,D
D1,24/05/2020,FC Koln,Fortuna Dusseldorf,1.72,4,4.2,2.0970197154270354,1.4028897704231855,0.40951275474543747,0.4420237809275976,0.14846346432696503,1.1651193029592912,1.894411888888195,0.11865390705799776,0.5880943284614002,0.29325176448060225,1.5322433424179014,1.7529937037809717,0.38329501911726516,0.2544334832436258,0.362271497639109,1.5918775482250074,1.4779384356318934,0.4052513007286887,0.23531837858638732,0.359430320684924,D
D2,22/05/2020,Heidenheim,Wehen,1.75,3.8,4.33,1.605495799555725,0.6034642510711138,0.6455037682136221,0.3067392063934252,0.047757025392952845,1.243951583187479,1.1807013002923896,0.2671672315773157,0.15217892272950215,0.580653845693182,1.3806040864721767,1.6329918541641377,0.2492598434758536,0.3042356324595147,0.4465045240646318,1.476647607608667,1.324373395361895,0.3818227601747989,0.3543940461153473,0.2637831937098537,D
D2,22/05/2020,Nurnberg,Erzgebirge Aue,1.9,3.6,3.75,1.0596152301633912,1.6022201240610732,0.18950045006977068,0.4159092324561276,0.3945903174741019,0.6608084951677992,1.4937056337816446,0,0.45740652540050947,0.5425934745994905,1.3561163346381342,1.5423850669957715,0.29721723205663053,0.2623809299785469,0.4404018379648226,1.5036348599615723,1.478525146315178,0.3393364843686028,0.36031993547457636,0.30034358015682083,D
D2,23/05/2020,Darmstadt,St Pauli,2.37,3.3,2.9,1.884388291921897,0.7305402758574374,0.5030433261651553,0.4319987866355244,0.06495788719932032,0.7952079235114171,2.1743657266331007,0.12451089935467952,0.2280197713383051,0.6474693293070154,1.3777375547313238,1.4770933030237177,0.31507499084436097,0.32065630838457737,0.36426870077106166,1.7461917094852581,1.2486568381673826,0.4661091609072166,0.2974378892826699,0.23645294981011356,D
D2,23/05/2020,Osnabruck,Hannover,2.87,3.4,2.35,1.2504934563113803,2.2579694062497144,0.20103680133605947,0.17454377246956126,0.6244194261943793,2.049026453496094,1.3403006454750899,0.5888400713453035,0.05300267327790767,0.35815725537678883,1.287106961930291,1.7396854224540086,0.22431032548076776,0.3095399793990915,0.4661496951201408,1.7702485585146608,1.320671893975811,0.45371180627237323,0.3240816726344363,0.22220652109319036,D
D2,23/05/2020,Sandhausen,Regensburg,2.25,3.4,3.2,0.9269202270008762,1.1605225007606252,0.1293908615619931,0.6330436410595994,0.23756549737840751,0.7185247566939094,1.94378027347154,0.12802081008394536,0.3508537677498527,0.5211254221662017,1.2208137086723834,1.845691310316108,0.2146498714145753,0.2975857870704851,0.48776434151493964,1.7549053057277135,1.1982847149814146,0.44670023580488116,0.3949354627917686,0.15836430140335028,D
D2,24/05/2020,Hamburg,Bielefeld,2.05,3.4,3.5,1.6461680088129116,0.7390972914401145,0.565984089445569,0.23724381717876858,0.1967720933756624,1.2377840417769408,0.7545366990967883,0.3536209056978155,0.5654046340453269,0.08097446025685749,1.235390152444824,1.8011935023016936,0.20066409619478462,0.34850684098577045,0.450829062819445,1.80160264155695,1.002112088900086,0.557439399801586,0.25392691299571435,0.1886336872026998,D
D2,24/05/2020,Holstein Kiel,Stuttgart,3.3,3.6,2.05,1.59357351016386,1.5469260618053264,0.407413550125304,0.3048282545008928,0.28775819537380326,1.155605088348582,1.9729798055608272,0.10344505655751134,0.2279667466562847,0.6685881967862042,1.1328533878046037,1.5452576714053214,0.19882261650171731,0.3287497203208797,0.47242766317740303,1.4873142184028307,1.2772919606839528,0.37335245438639886,0.34340874526636694,0.2832388003472342,D
D2,24/05/2020,Karlsruhe,Bochum,2.37,3.5,2.8,0.9865911124827714,1.0515212978333637,0.253070912930574,0.4071565080726037,0.3397725789968223,0.7376557559711944,0.8614264637224017,0.28748664282157155,0.47979762512846175,0.2327157320499669,1.3904715432890065,1.5501734016556354,0.29369841152767456,0.3101315940482127,0.39616999442411255,1.392202161933754,1.2964954797475752,0.402020077999912,0.29641080572094697,0.301569116279141,D
