,league,date,home_team,away_team,home_odds,home_odds_max,draw_odds,draw_odds_max,away_odds,away_odds_max
147,SC3,2021-10-16,Cowdenbeath,Stenhousemuir,2.3,2.5,3.5,3.5,2.5,2.8
148,SC3,2021-10-16,Forfar,Annan Athletic,1.75,1.88,3.6,3.75,3.75,4.2
149,SC3,2021-10-16,Stirling,Stranraer,1.65,1.8,3.6,3.8,4.5,5.0
150,SP1,2021-10-16,Levante,Getafe,2.5,2.63,2.9,3.11,3.25,3.38
151,SP1,2021-10-16,Sociedad,Mallorca,1.4,1.49,4.5,4.7,8.5,9.05
152,SP1,2021-10-17,Vallecano,Elche,1.8,1.86,3.5,3.75,4.75,4.92
153,SP1,2021-10-17,Celta,Sevilla,3.4,3.64,3.25,3.3,2.2,2.36
154,SP1,2021-10-17,Villarreal,Osasuna,1.66,1.73,3.75,4.07,5.25,5.57
155,SP1,2021-10-17,Barcelona,Valencia,1.5,1.58,4.33,4.55,6.5,7.0
156,SP1,2021-10-18,Alaves,Betis,3.5,3.68,3.3,3.5,2.15,2.26
157,SP1,2021-10-18,Espanol,Cadiz,1.66,1.74,3.6,3.88,5.75,5.9
158,SP2,2021-10-15,Eibar,Almeria,2.37,2.48,3.25,3.38,3.1,3.2
159,SP2,2021-10-16,Amorebieta,Cartagena,2.8,2.95,2.87,3.09,2.8,2.91
160,SP2,2021-10-16,Girona,Huesca,2.62,2.82,2.9,3.1,2.9,3.34
161,SP2,2021-10-16,Las Palmas,Tenerife,2.55,2.63,2.87,3.15,3.1,3.2
162,SP2,2021-10-16,Malaga,Zaragoza,2.8,2.92,3.0,3.05,2.75,2.85
163,SP2,2021-10-16,Sp Gijon,Alcorcon,1.66,1.72,3.5,3.6,6.0,6.0
164,SP2,2021-10-17,Ibiza,Mirandes,1.95,2.1,3.2,3.43,4.2,4.25
165,SP2,2021-10-17,Leganes,Valladolid,2.2,2.4,3.1,3.1,3.75,3.75
166,SP2,2021-10-17,Burgos,Lugo,2.1,2.3,3.1,3.21,4.0,4.0
167,SP2,2021-10-17,Sociedad B,Oviedo,3.25,3.34,3.1,3.17,2.37,2.65
168,SP2,2021-10-17,Ponferradina,Fuenlabrada,2.62,2.83,2.9,3.12,3.1,3.1
169,T1,2021-10-15,Buyuksehyr,Besiktas,3.1,3.2,3.4,3.66,2.25,2.4
170,T1,2021-10-16,Giresunspor,Rizespor,1.85,2.02,3.3,3.62,4.0,4.4
