ThisDiv,Date,HomeTeam,Hwpg,Hdpg,Hlpg,Hgspg,Hgcpg,Hstfpg,Hstapg,Hsfpg,Hsapg,AwayTeam,Awpg,Adpg,Alpg,Agspg,Agcpg,Astfpg,Astapg,Asfpg,Asapg,RowValid,FTR,Over
D1,09/09/2001 00:00:00,FC Koln,0.3478528,0.22644156,0.42570555,1.0832139,1.0017271,5.675584,4.550063,12.917488,11.061326,Hamburg,0.066264935,0.45246837,0.4812667,0.8988664,1.5350295,4.881751,5.0207963,11.18979,13.998268,True,H,Y
D1,09/09/2001 00:00:00,Kaiserslautern,0.58088034,0.08350435,0.33561528,1.7640933,1.4263765,6.56663,4.03241,14.853335,8.577778,Werder Bremen,0.3295199,0.29189754,0.37858254,0.97404057,1.4483895,4.6126757,5.5275226,11.086877,12.794241,True,H,Y
E0,09/09/2001 00:00:00,Tottenham,0.34129363,0.4928499,0.16585645,1.045626,0.7390183,4.251781,4.695008,10.054146,11.037438,Southampton,0.13657501,0.29902,0.56440496,0.33051607,1.2919694,3.885831,6.4438806,8.939552,13.142916,True,H,N
SC3,15/09/2001 00:00:00,Dumbarton,0.38956675,0.081980556,0.5284527,1.2960123,1.3230695,4.623154,4.747093,8.897533,9.902764,Albion Rvs,0.18497033,0.21922491,0.59580475,0.7927395,1.6106868,3.2772183,4.0499434,8.476308,7.190869,True,D,N
SC0,15/09/2001 00:00:00,Dundee,0.3937299,0.31593734,0.2903327,1.032193,1.1526186,4.729617,4.680065,9.844913,9.3453455,Celtic,0.7403418,0.16942434,0.090234004,2.1035435,0.48824093,5.060845,3.6998973,9.508099,8.512891,True,A,Y
SC3,15/09/2001 00:00:00,East Stirling,0.23869549,0.066918805,0.69438565,0.7313343,1.6566213,2.7221713,4.8540907,7.39438,11.89256,Peterhead,0.45502245,0.21456379,0.33041382,1.3597506,1.0980164,4.876093,4.187253,9.839046,10.755517,True,A,Y
E1,15/09/2001 00:00:00,Preston,0.24060169,0.50631875,0.2530796,1.1147411,1.0297488,4.2519274,5.4120064,10.88282,9.790474,Millwall,0.30786616,0.24343589,0.44869798,1.3371072,1.5273237,6.240429,5.8742356,12.505253,11.599017,True,H,N
SC3,15/09/2001 00:00:00,Queens Park,0.079665415,0.40336078,0.5169739,0.7590017,1.3744525,4.5933275,4.1567497,9.634146,8.241883,Brechin,0.7667196,0.06569323,0.16758722,1.906022,0.7506997,6.5458813,4.2926164,11.471806,8.9024935,True,A,Y
D2,15/09/2001 00:00:00,Reutlingen,0.4118218,0.15867591,0.42950216,1.5633374,1.1610609,6.4223237,4.8909616,12.236758,10.424845,Aachen,0.17783763,0.09387901,0.7282834,0.61231685,2.4081352,3.5079956,7.044832,6.8407464,14.184472,True,H,Y
E0,16/09/2001 00:00:00,Charlton,0.2966608,0.34721556,0.35612366,1.3186305,1.5572792,5.43549,6.4257865,9.661654,12.374612,Leeds,0.65279394,0.25422376,0.09298227,1.4997152,0.7828236,3.9905028,4.903381,8.221266,11.471251,True,A,N
D1,16/09/2001 00:00:00,Hansa Rostock,0.36237037,0.17708354,0.46054608,0.8045592,1.4392674,4.066611,4.5976753,10.5392685,11.175658,Cottbus,0.34571654,0,0.65428346,1.1800709,1.7995268,3.007619,6.1228595,9.684509,16.708797,True,D,N
D1,16/09/2001 00:00:00,Hertha,0.38292477,0.10218542,0.5148897,1.4581107,1.5630192,4.675362,3.7707374,13.757915,9.792647,Munich 1860,0.37956917,0.10146093,0.51896983,1.2886502,1.5444164,4.626866,7.400695,9.294611,15.009687,True,H,Y
E3,18/09/2001 00:00:00,Exeter,0.32145014,0.3953936,0.28315616,1.3843726,1.8731824,4.483361,4.312716,9.749166,8.80769,Plymouth,0.36014378,0.36296526,0.27689108,0.9381891,1.0656061,3.7878394,5.6923084,8.677682,15.902043,True,A,Y
SC1,18/09/2001 00:00:00,Falkirk,0.3569594,0.37708232,0.2659584,1.4896654,1.3922803,6.380449,5.0148487,13.522164,8.763405,Partick,0.8164728,0.12476707,0.05876008,2.435457,1.0909222,5.455951,4.0030622,11.536154,8.571835,True,D,N
E1,18/09/2001 00:00:00,Gillingham,0.580906,0.14677685,0.27231714,2.3465412,1.024261,6.8245597,4.4379067,15.524146,10.889985,Wolves,0.5388734,0.17266272,0.28846377,1.3356092,1.0846474,4.3722105,4.4768095,9.595629,10.981807,True,A,Y
E0,19/09/2001 00:00:00,Sunderland,0.55428094,0.24315192,0.20256716,1.218979,0.8619409,6.630629,4.4661264,13.121414,9.8112,Tottenham,0.13574603,0.2955927,0.5686613,1.0531478,1.8232086,4.095644,8.468252,8.855248,15.519237,True,A,Y
E1,20/09/2001 00:00:00,Nottm Forest,0.59753436,0.22150531,0.1809604,1.6930836,0.90318054,5.7445736,3.2742958,13.278599,8.199166,Bradford,0.15767194,0.4970528,0.34527534,0.9818685,1.6191689,4.4058466,5.7492676,9.990634,13.184532,True,H,N
D2,21/09/2001 00:00:00,Hannover,0.7376591,0.1965846,0.065756224,2.4846182,0.3949476,7.3929234,3.2575574,13.866986,8.386795,Oberhausen,0.056931403,0.46823812,0.47483057,1.2977124,2.139639,4.4311786,5.9736104,9.963016,10.965696,True,H,N
E1,22/09/2001 00:00:00,Crystal Palace,0.41687685,0.10558447,0.47753876,1.9652416,1.3433535,5.8054137,3.5529723,14.942917,8.953819,Barnsley,0.14815624,0.058804527,0.7930393,0.6416948,2.2605917,4.67731,5.9045615,11.146646,12.30171,True,H,N
E3,22/09/2001 00:00:00,Darlington,0.61282367,0.26214927,0.1250271,1.791076,0.78505826,5.6939816,2.6427674,11.161174,7.511051,Exeter,0.124706425,0.21202518,0.6632684,0.99777514,1.8830357,4.2419815,6.667372,8.142011,12.240438,True,H,Y
D1,22/09/2001 00:00:00,Dortmund,0.47226524,0.27793348,0.24980122,2.1622438,1.0308063,6.604082,3.4556282,15.481982,6.7718744,Leverkusen,0.60694766,0.25989628,0.13315599,1.8723624,0.98929965,4.3905926,7.811826,9.483783,14.521016,True,D,N
E3,22/09/2001 00:00:00,Oxford,0.27141702,0.06601921,0.6625637,1.0656906,1.7154216,4.848754,4.697977,9.5898695,9.597213,Southend,0.1578836,0.35663027,0.48548612,0.8367294,1.309495,4.1439943,6.1099424,9.181017,13.509344,True,H,N
E2,22/09/2001 00:00:00,Peterboro,0.49826217,0.2960987,0.20563912,2.1237266,0.8155961,4.755401,3.3733149,11.833641,8.055807,Bristol City,0.3866061,0.44861668,0.16477722,1.4237149,1.0210173,4.470976,4.997356,9.6559725,10.419957,True,H,Y
SC3,22/09/2001 00:00:00,Peterhead,0.21213853,0.4629998,0.32486176,0.99070215,1.3745115,5.297783,5.0392365,12.186931,10.967403,Brechin,0.8341686,0.05677144,0.10905994,2.161897,0.78455716,6.5432796,4.5244966,11.515029,9.323166,True,H,Y
SC1,23/09/2001 00:00:00,Ayr,0.681494,0.31850588,0,2.592063,0.86519855,5.9944673,4.098356,12.98804,6.9372945,Clyde,0.19994675,0.3364905,0.46356267,0.75482,1.7032793,3.8855455,5.4742146,8.358917,10.251963,True,H,Y
E1,23/09/2001 00:00:00,Birmingham,0.61256343,0.059561666,0.32787484,1.8493507,0.92950463,6.3033853,4.5297227,9.742322,7.740446,Preston,0.34167862,0.22747234,0.43084905,1.2141961,1.9380654,5.6122284,6.3877897,12.186104,11.843706,True,A,N
E0,23/09/2001 00:00:00,Chelsea,0.37794346,0.4717149,0.15034163,1.377646,1.0786765,5.678792,5.2001433,12.661952,9.552545,Middlesbrough,0.39757955,0.20088543,0.40153503,1.1999358,1.0976841,4.13797,5.1086717,9.396423,12.5407915,True,D,Y
